EXPERIMENT 45
================
Scenario: TIGHT_GAP
Repeat: 1 | Scenario seed: 5217400137194736569 | Case seed: 206496355945260846 | Varied scenario: false
Buyer strategy: TIME_DEPENDENT_CONCEDER (Time-Dependent (CONCEDER))
Dealer strategy: TIME_DEPENDENT_BOULWARE (Time-Dependent (BOULWARE))
Asking: RM 80000 | Buyer first: RM 62400 | Buyer max: RM 72800 | Dealer floor: RM 71200
Outcome: DEAL | Accepted by: DEALER | Final price: RM 72500 | Rounds: 10
Utility: buyer=0.03 dealer=0.15 joint=0.18 | Benefit side: DEALER
Surplus: agreement=RM 1600 buyer=RM 300 dealer=RM 1300
Baseline: NO_DEAL at - | Negotiation gain vs baseline: -

TRANSCRIPT
----------
Round 1 | BUYER | OFFER | RM 62400 | Opening offer
Round 1 | DEALER | OFFER | RM 80000 | Round 1/10 | Curve=BOULWARE β=0.25 | Progress=10% → Offer RM80000
Round 2 | BUYER | OFFER | RM 68200 | Round 1/10 | Curve=CONCEDER β=4.00 | Progress=10% → Offer RM68200
Round 2 | DEALER | OFFER | RM 80000 | Round 2/10 | Curve=BOULWARE β=0.25 | Progress=20% → Offer RM80000
Round 3 | BUYER | OFFER | RM 69400 | Round 2/10 | Curve=CONCEDER β=4.00 | Progress=20% → Offer RM69400
Round 3 | DEALER | OFFER | RM 79900 | Round 3/10 | Curve=BOULWARE β=0.25 | Progress=30% → Offer RM79900
Round 4 | BUYER | OFFER | RM 70100 | Round 3/10 | Curve=CONCEDER β=4.00 | Progress=30% → Offer RM70100
Round 4 | DEALER | OFFER | RM 79800 | Round 4/10 | Curve=BOULWARE β=0.25 | Progress=40% → Offer RM79800
Round 5 | BUYER | OFFER | RM 70700 | Round 4/10 | Curve=CONCEDER β=4.00 | Progress=40% → Offer RM70700
Round 5 | DEALER | OFFER | RM 79500 | Round 5/10 | Curve=BOULWARE β=0.25 | Progress=50% → Offer RM79500
Round 6 | BUYER | OFFER | RM 71100 | Round 5/10 | Curve=CONCEDER β=4.00 | Progress=50% → Offer RM71100
Round 6 | DEALER | OFFER | RM 78900 | Round 6/10 | Curve=BOULWARE β=0.25 | Progress=60% → Offer RM78900
Round 7 | BUYER | OFFER | RM 71600 | Round 6/10 | Curve=CONCEDER β=4.00 | Progress=60% → Offer RM71600
Round 7 | DEALER | OFFER | RM 77900 | Round 7/10 | Curve=BOULWARE β=0.25 | Progress=70% → Offer RM77900
Round 8 | BUYER | OFFER | RM 71900 | Round 7/10 | Curve=CONCEDER β=4.00 | Progress=70% → Offer RM71900
Round 8 | DEALER | OFFER | RM 76400 | Round 8/10 | Curve=BOULWARE β=0.25 | Progress=80% → Offer RM76400
Round 9 | BUYER | OFFER | RM 72200 | Round 8/10 | Curve=CONCEDER β=4.00 | Progress=80% → Offer RM72200
Round 9 | DEALER | OFFER | RM 74200 | Round 9/10 | Curve=BOULWARE β=0.25 | Progress=90% → Offer RM74200
Round 10 | BUYER | OFFER | RM 72500 | Round 9/10 | Curve=CONCEDER β=4.00 | Progress=90% → Offer RM72500
Round 10 | DEALER | ACCEPT | RM 72500 | Round 10/10 | BOULWARE | Offer RM72500 vs RV RM71200 | lastRound=true → COUNTER

Final note: Round 10/10 | BOULWARE | Offer RM72500 vs RV RM71200 | lastRound=true → COUNTER
