EXPERIMENT 22
================
Scenario: BALANCED
Buyer strategy: TIT_FOR_TAT (Tit-for-Tat)
Dealer strategy: TIT_FOR_TAT (Tit-for-Tat)
Asking: RM 80000 | Buyer first: RM 64000 | Buyer max: RM 78400 | Dealer floor: RM 70400
Outcome: NO_DEAL | Accepted by: NONE | Final price: - | Rounds: 10

TRANSCRIPT
----------
Round 1 | BUYER | OFFER | RM 64000 | Opening offer
Round 1 | DEALER | OFFER | RM 79800 | Round 1/10 | Opponent last conceded -20.0% (RM-12800) | Mirroring at 2.0% → Offer RM79800
Round 2 | BUYER | OFFER | RM 64300 | Round 1/10 | Opponent last conceded 0.3% (RM200) | Mirroring at 2.0% → Offer RM64300
Round 2 | DEALER | OFFER | RM 79800 | Round 2/10 | Opponent last conceded 0.5% (RM301) | Mirroring at 0.5% → Offer RM79800
Round 3 | BUYER | OFFER | RM 64600 | Round 2/10 | Opponent last conceded 0.0% (RM0) | Mirroring at 2.0% → Offer RM64600
Round 3 | DEALER | OFFER | RM 79800 | Round 3/10 | Opponent last conceded 0.5% (RM301) | Mirroring at 0.5% → Offer RM79800
Round 4 | BUYER | OFFER | RM 64900 | Round 3/10 | Opponent last conceded 0.0% (RM0) | Mirroring at 2.0% → Offer RM64900
Round 4 | DEALER | OFFER | RM 79800 | Round 4/10 | Opponent last conceded 0.5% (RM301) | Mirroring at 0.5% → Offer RM79800
Round 5 | BUYER | OFFER | RM 65200 | Round 4/10 | Opponent last conceded 0.0% (RM0) | Mirroring at 2.0% → Offer RM65200
Round 5 | DEALER | OFFER | RM 79800 | Round 5/10 | Opponent last conceded 0.5% (RM301) | Mirroring at 0.5% → Offer RM79800
Round 6 | BUYER | OFFER | RM 65500 | Round 5/10 | Opponent last conceded 0.0% (RM0) | Mirroring at 2.0% → Offer RM65500
Round 6 | DEALER | OFFER | RM 79800 | Round 6/10 | Opponent last conceded 0.5% (RM301) | Mirroring at 0.5% → Offer RM79800
Round 7 | BUYER | OFFER | RM 65800 | Round 6/10 | Opponent last conceded 0.0% (RM0) | Mirroring at 2.0% → Offer RM65800
Round 7 | DEALER | OFFER | RM 79800 | Round 7/10 | Opponent last conceded 0.5% (RM301) | Mirroring at 0.5% → Offer RM79800
Round 8 | BUYER | OFFER | RM 66100 | Round 7/10 | Opponent last conceded 0.0% (RM0) | Mirroring at 2.0% → Offer RM66100
Round 8 | DEALER | OFFER | RM 79800 | Round 8/10 | Opponent last conceded 0.5% (RM301) | Mirroring at 0.5% → Offer RM79800
Round 9 | BUYER | OFFER | RM 66300 | Round 8/10 | Opponent last conceded 0.0% (RM0) | Mirroring at 2.0% → Offer RM66300
Round 9 | DEALER | OFFER | RM 79800 | Round 9/10 | Opponent last conceded 0.3% (RM201) | Mirroring at 0.5% → Offer RM79800
Round 10 | BUYER | OFFER | RM 66500 | Round 9/10 | Opponent last conceded 0.0% (RM0) | Mirroring at 2.0% → Offer RM66500
Round 10 | DEALER | OFFER | RM 79800 | Round 10/10 | Opponent last conceded 0.3% (RM201) | Mirroring at 0.5% → Offer RM79800

Final note: Deadline reached without either side accepting.
