EXPERIMENT 16
================
Scenario: BALANCED
Buyer strategy: TIME_DEPENDENT_BOULWARE (Time-Dependent (BOULWARE))
Dealer strategy: TIT_FOR_TAT (Tit-for-Tat)
Asking: RM 80000 | Buyer first: RM 64000 | Buyer max: RM 78400 | Dealer floor: RM 70400
Outcome: DEAL | Accepted by: DEALER | Final price: RM 73400 | Rounds: 10

TRANSCRIPT
----------
Round 1 | BUYER | OFFER | RM 64000 | Opening offer
Round 1 | DEALER | OFFER | RM 79800 | Round 1/10 | Opponent last conceded -20.0% (RM-12800) | Mirroring at 2.0% → Offer RM79800
Round 2 | BUYER | OFFER | RM 64000 | Round 1/10 | Curve=BOULWARE β=0.25 | Progress=10% → Offer RM64000
Round 2 | DEALER | OFFER | RM 79600 | Round 2/10 | Opponent last conceded 0.0% (RM0) | Mirroring at 2.0% → Offer RM79600
Round 3 | BUYER | OFFER | RM 64000 | Round 2/10 | Curve=BOULWARE β=0.25 | Progress=20% → Offer RM64000
Round 3 | DEALER | OFFER | RM 79400 | Round 3/10 | Opponent last conceded 0.0% (RM0) | Mirroring at 2.0% → Offer RM79400
Round 4 | BUYER | OFFER | RM 64100 | Round 3/10 | Curve=BOULWARE β=0.25 | Progress=30% → Offer RM64100
Round 4 | DEALER | OFFER | RM 79400 | Round 4/10 | Opponent last conceded 0.2% (RM100) | Mirroring at 0.5% → Offer RM79400
Round 5 | BUYER | OFFER | RM 64400 | Round 4/10 | Curve=BOULWARE β=0.25 | Progress=40% → Offer RM64400
Round 5 | DEALER | OFFER | RM 79400 | Round 5/10 | Opponent last conceded 0.5% (RM301) | Mirroring at 0.5% → Offer RM79400
Round 6 | BUYER | OFFER | RM 64900 | Round 5/10 | Curve=BOULWARE β=0.25 | Progress=50% → Offer RM64900
Round 6 | DEALER | OFFER | RM 79300 | Round 6/10 | Opponent last conceded 0.8% (RM504) | Mirroring at 0.8% → Offer RM79300
Round 7 | BUYER | OFFER | RM 65900 | Round 6/10 | Curve=BOULWARE β=0.25 | Progress=60% → Offer RM65900
Round 7 | DEALER | OFFER | RM 79200 | Round 7/10 | Opponent last conceded 1.5% (RM1015) | Mirroring at 1.5% → Offer RM79200
Round 8 | BUYER | OFFER | RM 67500 | Round 7/10 | Curve=BOULWARE β=0.25 | Progress=70% → Offer RM67500
Round 8 | DEALER | OFFER | RM 79000 | Round 8/10 | Opponent last conceded 2.4% (RM1639) | Mirroring at 2.4% → Offer RM79000
Round 9 | BUYER | OFFER | RM 69900 | Round 8/10 | Curve=BOULWARE β=0.25 | Progress=80% → Offer RM69900
Round 9 | DEALER | OFFER | RM 78700 | Round 9/10 | Opponent last conceded 3.6% (RM2485) | Mirroring at 3.6% → Offer RM78700
Round 10 | BUYER | OFFER | RM 73400 | Round 9/10 | Curve=BOULWARE β=0.25 | Progress=90% → Offer RM73400
Round 10 | DEALER | ACCEPT | RM 73400 | Round 10/10 | OpponentConcession=5.0% | opponentStuck=false | lastRound=true → ACCEPT

Final note: Round 10/10 | OpponentConcession=5.0% | opponentStuck=false | lastRound=true → ACCEPT
